127.0.0.1 [12/Jun/2014:15:24:16 +0000][223 ms] "GET /component-registry/services/dd1c789a-8cb9-4a68-84df-79a026cf5343 HTTP/1.1" 200 3669 [tomcat-http--36]
127.0.0.1 [12/Jun/2014:15:24:16 +0000][400 ms] "POST /identity/api/updates/services/dd1c789a-8cb9-4a68-84df-79a026cf5343/type/com.vmware.csp.core.cafe.workitem HTTP/1.1" 204 - [tomcat-http--35]
127.0.0.1 [12/Jun/2014:15:24:16 +0000][203 ms] "GET /component-registry/services/dd1c789a-8cb9-4a68-84df-79a026cf5343 HTTP/1.1" 200 3669 [tomcat-http--32]
127.0.0.1 [12/Jun/2014:15:24:22 +0000][2 ms] "POST /eventlog-service/api/updates/services/01a2efcd-d384-43c3-92c5-0777f818c145/type/com.vmware.csp.cafe.notification HTTP/1.1" 204 - [tomcat-http--33]
127.0.0.1 [12/Jun/2014:15:24:22 +0000][10 ms] "POST /component-registry/api/updates/services/01a2efcd-d384-43c3-92c5-0777f818c145/type/com.vmware.csp.cafe.notification HTTP/1.1" 204 - [tomcat-http--34]
127.0.0.1 [12/Jun/2014:15:24:22 +0000][373 ms] "POST /component-registry/services/ HTTP/1.1" 201 - [tomcat-http--37]
127.0.0.1 [12/Jun/2014:15:24:23 +0000][164 ms] "GET /component-registry/services/01a2efcd-d384-43c3-92c5-0777f818c145 HTTP/1.1" 200 2683 [tomcat-http--36]
127.0.0.1 [12/Jun/2014:15:24:23 +0000][294 ms] "POST /identity/api/updates/services/01a2efcd-d384-43c3-92c5-0777f818c145/type/com.vmware.csp.cafe.notification HTTP/1.1" 204 - [tomcat-http--35]
127.0.0.1 [12/Jun/2014:15:24:23 +0000][179 ms] "POST /workitem-service/api/updates/services/01a2efcd-d384-43c3-92c5-0777f818c145/type/com.vmware.csp.cafe.notification HTTP/1.1" 204 - [tomcat-http--38]
127.0.0.1 [12/Jun/2014:15:24:23 +0000][200 ms] "GET /component-registry/endpoints/types/com.vmware.csp.core.cafe.workitem.api/default HTTP/1.1" 200 520 [tomcat-http--39]
127.0.0.1 [12/Jun/2014:15:24:23 +0000][194 ms] "GET /component-registry/services/01a2efcd-d384-43c3-92c5-0777f818c145 HTTP/1.1" 200 2683 [tomcat-http--37]
127.0.0.1 [12/Jun/2014:15:24:23 +0000][130 ms] "GET /component-registry/services/dd1c789a-8cb9-4a68-84df-79a026cf5343/endpoints/com.vmware.csp.core.cafe.service.registry.status HTTP/1.1" 200 538 [tomcat-http--39]
127.0.0.1 [12/Jun/2014:15:24:23 +0000][30 ms] "GET /workitem-service/api/status HTTP/1.1" 200 1445 [tomcat-http--40]
127.0.0.1 [12/Jun/2014:15:24:25 +0000][23 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--42]
127.0.0.1 [12/Jun/2014:15:24:31 +0000][305 ms] "GET /component-registry/endpoints/types/com.vmware.csp.cafe.notification.api/default HTTP/1.1" 200 523 [tomcat-http--43]
127.0.0.1 [12/Jun/2014:15:24:31 +0000][183 ms] "GET /component-registry/services/types/com.vmware.cafe.samples.travel/endpoints/com.vmware.csp.core.cafe.service.resource.bundle?page=1&limit=1 HTTP/1.1" 200 488 [tomcat-http--44]
127.0.0.1 [12/Jun/2014:15:24:32 +0000][188 ms] "GET /component-registry/services/01a2efcd-d384-43c3-92c5-0777f818c145/endpoints/com.vmware.csp.core.cafe.service.registry.status HTTP/1.1" 200 542 [tomcat-http--43]
127.0.0.1 [12/Jun/2014:15:24:32 +0000][178 ms] "GET /component-registry/endpoints/682d8fa1-998c-4e44-914c-2bd76890aaaa HTTP/1.1" 200 539 [tomcat-http--44]
127.0.0.1 [12/Jun/2014:15:24:32 +0000][223 ms] "GET /component-registry/services/962be6e7-4f80-4f36-aa1c-ebea660e2312 HTTP/1.1" 200 4408 [tomcat-http--44]
127.0.0.1 [12/Jun/2014:15:24:32 +0000][408 ms] "GET /notification-service/api/status HTTP/1.1" 200 1448 [tomcat-http--45]
127.0.0.1 [12/Jun/2014:15:24:33 +0000][477 ms] "GET /travel/apps/bundles/i18n.zip HTTP/1.1" 200 21956 [tomcat-http--40]
127.0.0.1 [12/Jun/2014:15:24:33 +0000][50 ms] "GET /component-registry/endpoints/types/sso HTTP/1.1" 200 1859 [tomcat-http--48]
127.0.0.1 [12/Jun/2014:15:24:33 +0000][949 ms] "POST /component-registry/services/ HTTP/1.1" 201 - [tomcat-http--46]
127.0.0.1 [12/Jun/2014:15:24:34 +0000][1 ms] "POST /eventlog-service/api/updates/services/7e5e56a0-ea19-4d0a-9d76-d4d3a171b7f1/type/com.vmware.csp.component.management.service HTTP/1.1" 204 - [tomcat-http--33]
127.0.0.1 [12/Jun/2014:15:24:34 +0000][29 ms] "POST /notification-service/api/updates/services/7e5e56a0-ea19-4d0a-9d76-d4d3a171b7f1/type/com.vmware.csp.component.management.service HTTP/1.1" 204 - [tomcat-http--49]
127.0.0.1 [12/Jun/2014:15:24:34 +0000][250 ms] "GET /component-registry/services/7e5e56a0-ea19-4d0a-9d76-d4d3a171b7f1 HTTP/1.1" 200 4673 [tomcat-http--36]
127.0.0.1 [12/Jun/2014:15:24:34 +0000][3 ms] "POST /component-registry/api/updates/services/7e5e56a0-ea19-4d0a-9d76-d4d3a171b7f1/type/com.vmware.csp.component.management.service HTTP/1.1" 204 - [tomcat-http--34]
127.0.0.1 [12/Jun/2014:15:24:34 +0000][421 ms] "POST /identity/api/updates/services/7e5e56a0-ea19-4d0a-9d76-d4d3a171b7f1/type/com.vmware.csp.component.management.service HTTP/1.1" 204 - [tomcat-http--35]
127.0.0.1 [12/Jun/2014:15:24:34 +0000][2 ms] "POST /workitem-service/api/updates/services/7e5e56a0-ea19-4d0a-9d76-d4d3a171b7f1/type/com.vmware.csp.component.management.service HTTP/1.1" 204 - [tomcat-http--38]
